rent,size_sqm,district,year,source,price_per_sqm,size_category,rent_category,period
3.45,110.0,Wilmersdorf,2025,Immobilienscout24,0.031363636363636364,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.6,100.0,Prenzlauer Berg,2025,Immobilienscout24,0.016,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.1,56.0,Pankow,2025,Immobilienscout24,0.019642857142857146,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
790.0,43.0,Unbekannt,2025,Immobilienscout24,18.372093023255815,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.4,100.0,Wilmersdorf,2025,Immobilienscout24,0.013999999999999999,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.2,90.0,Neukölln,2025,Immobilienscout24,0.013333333333333332,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
675.0,60.0,Friedrichshain,2025,Immobilienscout24,11.25,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
750.0,82.0,Prenzlauer Berg,2025,Immobilienscout24,9.146341463414634,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.2,97.0,Kreuzberg,2025,Immobilienscout24,0.012371134020618556,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
800.0,72.0,Prenzlauer Berg,2025,Immobilienscout24,11.11111111111111,Groß (60-100 m²),Mittel (800-1200 €),Nach Corona (2023+)
2.0,150.0,Lichtenberg,2025,Immobilienscout24,0.013333333333333334,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
265.0,36.0,Unbekannt,2025,Immobilienscout24,7.361111111111111,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
700.0,64.0,Unbekannt,2025,Immobilienscout24,10.9375,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
454.0,70.0,Hohenschönhausen,2025,Immobilienscout24,6.485714285714286,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
507.0,67.0,Wedding,2025,Immobilienscout24,7.567164179104478,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
435.0,67.0,Neukölln,2025,Immobilienscout24,6.492537313432836,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.78,82.0,Friedrichshain,2025,Immobilienscout24,0.021707317073170734,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
900.0,78.0,Unbekannt,2025,Immobilienscout24,11.538461538461538,Groß (60-100 m²),Mittel (800-1200 €),Nach Corona (2023+)
758.61,58.49,Unbekannt,2025,Immobilienscout24,12.969909386219866,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.59,85.85,Unbekannt,2025,Immobilienscout24,0.018520675596971466,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
769.6,48.1,Unbekannt,2025,Immobilienscout24,16.0,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
3.6,178.0,Mitte,2025,Immobilienscout24,0.020224719101123598,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.95,52.0,Mitte,2025,Immobilienscout24,0.0375,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.55,94.0,Unbekannt,2025,Immobilienscout24,0.01648936170212766,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
3.2,122.0,Unbekannt,2025,Immobilienscout24,0.02622950819672131,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
2.25,91.0,Unbekannt,2025,Immobilienscout24,0.024725274725274724,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.75,64.0,Schöneberg,2025,Immobilienscout24,0.02734375,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
3.975,165.7,Charlottenburg,2025,Immobilienscout24,0.023989136994568498,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.45,68.76,Friedrichshain,2025,Immobilienscout24,0.021087841768470037,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
3.75,190.0,Wilmersdorf,2025,Immobilienscout24,0.019736842105263157,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.975,62.0,Friedrichshain,2025,Immobilienscout24,0.03185483870967742,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.05,51.0,Friedrichshain,2025,Immobilienscout24,0.020588235294117647,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.7,73.0,Prenzlauer Berg,2025,Immobilienscout24,0.02328767123287671,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
2.299,115.74,Mitte,2025,Immobilienscout24,0.01986348712631761,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
699.96,28.9,Unbekannt,2025,Immobilienscout24,24.220069204152253,Klein (< 30 m²),Günstig (< 800 €),Nach Corona (2023+)
2.05,129.83,Steglitz,2025,Immobilienscout24,0.01578987907263344,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
2.45,117.0,Unbekannt,2025,Immobilienscout24,0.020940170940170942,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.069,74.49,Unbekannt,2025,Immobilienscout24,0.01435091958652168,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.129,75.89,Unbekannt,2025,Immobilienscout24,0.014876795361707735,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.591,74.0,Reinickendorf,2025,Immobilienscout24,0.0215,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.165,76.5,Reinickendorf,2025,Immobilienscout24,0.015228758169934641,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
800.0,45.0,Unbekannt,2025,Immobilienscout24,17.77777777777778,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
360.0,50.0,Kreuzberg,2025,Immobilienscout24,7.2,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.576,127.0,Lichtenberg,2025,Immobilienscout24,0.012409448818897639,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.15,70.0,Unbekannt,2025,Immobilienscout24,0.016428571428571428,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
467.0,55.0,Unbekannt,2025,Immobilienscout24,8.49090909090909,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
721.0,47.0,Neukölln,2025,Immobilienscout24,15.340425531914894,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
401.0,45.0,Neukölln,2025,Immobilienscout24,8.911111111111111,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
6.0,95.0,Neukölln,2025,Immobilienscout24,0.06315789473684211,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.4,75.0,Friedrichshain,2025,Immobilienscout24,0.018666666666666665,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
600.0,92.0,Hohenschönhausen,2025,Immobilienscout24,6.521739130434782,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
512.0,88.0,Unbekannt,2025,Immobilienscout24,5.818181818181818,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
520.0,35.0,Neukölln,2025,Immobilienscout24,14.857142857142858,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
800.0,65.0,Neukölln,2025,Immobilienscout24,12.307692307692308,Groß (60-100 m²),Mittel (800-1200 €),Nach Corona (2023+)
1.65,105.0,Unbekannt,2025,Immobilienscout24,0.015714285714285712,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
370.0,45.0,Tempelhof,2025,Immobilienscout24,8.222222222222221,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
903.0,78.0,Mitte,2025,Immobilienscout24,11.576923076923077,Groß (60-100 m²),Mittel (800-1200 €),Nach Corona (2023+)
742.0,60.0,Unbekannt,2025,Immobilienscout24,12.366666666666667,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
453.0,51.0,Wilmersdorf,2025,Immobilienscout24,8.882352941176471,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
450.0,77.0,Unbekannt,2025,Immobilienscout24,5.8441558441558445,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
650.0,84.0,Unbekannt,2025,Immobilienscout24,7.738095238095238,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
950.0,75.0,Wilmersdorf,2025,Immobilienscout24,12.666666666666666,Groß (60-100 m²),Mittel (800-1200 €),Nach Corona (2023+)
651.0,78.0,Zehlendorf,2025,Immobilienscout24,8.346153846153847,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
858.61,45.19,Unbekannt,2025,Immobilienscout24,19.0,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
1.235,68.62,Unbekannt,2025,Immobilienscout24,0.017997668318274557,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
2.919,149.58,Kreuzberg,2025,Immobilienscout24,0.019514640994785396,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.499,69.98,Kreuzberg,2025,Immobilienscout24,0.021420405830237212,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.31,72.12,Neukölln,2025,Immobilienscout24,0.018164170826400445,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
752.0,47.0,Wilmersdorf,2025,Immobilienscout24,16.0,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
3.2,142.0,Prenzlauer Berg,2025,Immobilienscout24,0.022535211267605635,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
3.2,94.75,Mitte,2025,Immobilienscout24,0.033773087071240104,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.179,70.77,Hohenschönhausen,2025,Immobilienscout24,0.01665960152607037,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
589.0,32.7,Unbekannt,2025,Immobilienscout24,18.01223241590214,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
760.02,59.33,Unbekannt,2025,Immobilienscout24,12.810045508174616,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
560.0,56.0,Unbekannt,2025,Immobilienscout24,10.0,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
453.0,49.0,Prenzlauer Berg,2025,Immobilienscout24,9.244897959183673,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
750.0,40.0,Friedrichshain,2025,Immobilienscout24,18.75,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
367.0,33.0,Unbekannt,2025,Immobilienscout24,11.121212121212121,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
750.0,59.0,Unbekannt,2025,Immobilienscout24,12.711864406779661,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.7,83.0,Kreuzberg,2025,Immobilienscout24,0.020481927710843374,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
700.0,65.0,Wilmersdorf,2025,Immobilienscout24,10.76923076923077,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
553.0,40.0,Neukölln,2025,Immobilienscout24,13.825,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.6,100.0,Prenzlauer Berg,2025,Immobilienscout24,0.016,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
500.0,58.0,Prenzlauer Berg,2025,Immobilienscout24,8.620689655172415,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.787,98.2,Unbekannt,2025,Immobilienscout24,0.01819755600814664,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
2.7,85.61,Unbekannt,2025,Immobilienscout24,0.03153837168555076,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
796.5,49.76,Zehlendorf,2025,Immobilienscout24,16.006832797427652,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
783.0,48.89,Unbekannt,2025,Immobilienscout24,16.0155451012477,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.85,91.0,Mitte,2025,Immobilienscout24,0.02032967032967033,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.55,72.4,Reinickendorf,2025,Immobilienscout24,0.021408839779005522,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.96,122.45,Unbekannt,2025,Immobilienscout24,0.016006533278889342,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.241,90.29,Köpenick,2025,Immobilienscout24,0.01374460073097796,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.68,70.0,Prenzlauer Berg,2025,Immobilienscout24,0.024,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.8,82.0,Charlottenburg,2025,Immobilienscout24,0.021951219512195124,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.65,66.0,Unbekannt,2025,Immobilienscout24,0.024999999999999998,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.4,65.35,Kreuzberg,2025,Immobilienscout24,0.02142310635042081,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.76,85.77,Kreuzberg,2025,Immobilienscout24,0.020519995336364696,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.16,72.0,Unbekannt,2025,Immobilienscout24,0.01611111111111111,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.1,40.03,Mitte,2025,Immobilienscout24,0.027479390457157134,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
4.6,210.0,Mitte,2025,Immobilienscout24,0.021904761904761903,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.95,90.0,Unbekannt,2025,Immobilienscout24,0.021666666666666667,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
2.621,105.0,Charlottenburg,2025,Immobilienscout24,0.02496190476190476,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
2.79,137.0,Unbekannt,2025,Immobilienscout24,0.020364963503649636,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
3.3,135.0,Mitte,2025,Immobilienscout24,0.024444444444444442,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.7,59.0,Friedrichshain,2025,Immobilienscout24,0.0288135593220339,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
4.3,124.25,Mitte,2025,Immobilienscout24,0.03460764587525151,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
930.0,75.0,Reinickendorf,2025,Immobilienscout24,12.4,Groß (60-100 m²),Mittel (800-1200 €),Nach Corona (2023+)
449.0,43.0,Friedrichshain,2025,Immobilienscout24,10.44186046511628,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
793.0,58.0,Kreuzberg,2025,Immobilienscout24,13.672413793103448,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.694,105.0,Neukölln,2025,Immobilienscout24,0.016133333333333333,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
760.0,87.0,Neukölln,2025,Immobilienscout24,8.735632183908047,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
677.0,77.0,Unbekannt,2025,Immobilienscout24,8.792207792207792,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.8,130.0,Tempelhof,2025,Immobilienscout24,0.013846153846153847,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
700.0,50.0,Steglitz,2025,Immobilienscout24,14.0,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
900.0,63.0,Unbekannt,2025,Immobilienscout24,14.285714285714286,Groß (60-100 m²),Mittel (800-1200 €),Nach Corona (2023+)
360.0,66.0,Lichtenberg,2025,Immobilienscout24,5.454545454545454,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
780.0,32.0,Neukölln,2025,Immobilienscout24,24.375,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
599.0,104.0,Kreuzberg,2025,Immobilienscout24,5.759615384615385,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
596.0,60.0,Wedding,2025,Immobilienscout24,9.933333333333334,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
370.0,54.0,Prenzlauer Berg,2025,Immobilienscout24,6.851851851851852,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
442.0,73.0,Kreuzberg,2025,Immobilienscout24,6.054794520547945,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
550.0,61.0,Wilmersdorf,2025,Immobilienscout24,9.01639344262295,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
720.0,77.0,Prenzlauer Berg,2025,Immobilienscout24,9.35064935064935,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
380.0,37.0,Friedrichshain,2025,Immobilienscout24,10.27027027027027,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
451.0,66.0,Friedrichshain,2025,Immobilienscout24,6.833333333333333,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.249,133.0,Steglitz,2025,Immobilienscout24,0.009390977443609023,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
490.0,47.0,Friedrichshain,2025,Immobilienscout24,10.425531914893616,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
650.0,36.0,Unbekannt,2025,Immobilienscout24,18.055555555555557,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
650.0,65.0,Schöneberg,2025,Immobilienscout24,10.0,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
270.0,37.0,Friedrichshain,2025,Immobilienscout24,7.297297297297297,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.4,60.0,Wilmersdorf,2025,Immobilienscout24,0.02333333333333333,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
483.0,61.0,Kreuzberg,2025,Immobilienscout24,7.918032786885246,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
590.0,44.0,Mitte,2025,Immobilienscout24,13.409090909090908,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.87,88.81,Unbekannt,2025,Immobilienscout24,0.02105618736628758,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
853.05,56.87,Unbekannt,2025,Immobilienscout24,15.0,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
1.996,100.0,Unbekannt,2025,Immobilienscout24,0.01996,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.996,100.0,Unbekannt,2025,Immobilienscout24,0.01996,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
9.8,223.0,Mitte,2025,Immobilienscout24,0.04394618834080718,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
4.9,215.45,Treptow,2025,Immobilienscout24,0.022743095845903925,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
900.0,33.0,Tempelhof,2025,Immobilienscout24,27.272727272727273,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
1.15,46.0,Wedding,2025,Immobilienscout24,0.024999999999999998,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.65,102.0,Unbekannt,2025,Immobilienscout24,0.016176470588235292,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
4.45,180.0,Charlottenburg,2025,Immobilienscout24,0.024722222222222222,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
3.35,131.0,Charlottenburg,2025,Immobilienscout24,0.025572519083969465,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
2.55,88.0,Charlottenburg,2025,Immobilienscout24,0.028977272727272727,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.92,71.23,Tiergarten,2025,Immobilienscout24,0.026954934718517475,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.74,72.8,Prenzlauer Berg,2025,Immobilienscout24,0.023901098901098903,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
810.0,30.0,Steglitz,2025,Immobilienscout24,27.0,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
2.75,197.08,Unbekannt,2025,Immobilienscout24,0.013953724375887964,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.99,96.6,Unbekannt,2025,Immobilienscout24,0.02060041407867495,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.85,46.0,Wilmersdorf,2025,Immobilienscout24,0.04021739130434783,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.13,97.29,Unbekannt,2025,Immobilienscout24,0.011614759995888579,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
2.4,97.0,Mitte,2025,Immobilienscout24,0.024742268041237112,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.127,64.0,Unbekannt,2025,Immobilienscout24,0.017609375,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
3.764,142.12,Prenzlauer Berg,2025,Immobilienscout24,0.026484660849985926,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.29,76.5,Unbekannt,2025,Immobilienscout24,0.016862745098039218,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
3.1,179.0,Mitte,2025,Immobilienscout24,0.017318435754189943,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
3.05,137.27,Steglitz,2025,Immobilienscout24,0.022218984483135425,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
750.0,64.9,Unbekannt,2025,Immobilienscout24,11.55624036979969,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
557.43,43.72,Unbekannt,2025,Immobilienscout24,12.75,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
549.85,31.42,Unbekannt,2025,Immobilienscout24,17.5,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.25,110.94,Unbekannt,2025,Immobilienscout24,0.011267351721651343,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.879,97.3,Unbekannt,2025,Immobilienscout24,0.019311408016443987,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
972.84,61.65,Unbekannt,2025,Immobilienscout24,15.780048661800487,Groß (60-100 m²),Mittel (800-1200 €),Nach Corona (2023+)
939.65,60.25,Unbekannt,2025,Immobilienscout24,15.595850622406639,Groß (60-100 m²),Mittel (800-1200 €),Nach Corona (2023+)
773.0,53.34,Unbekannt,2025,Immobilienscout24,14.491938507686537,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
858.0,63.57,Unbekannt,2025,Immobilienscout24,13.496932515337424,Groß (60-100 m²),Mittel (800-1200 €),Nach Corona (2023+)
1.59,74.0,Friedrichshain,2025,Immobilienscout24,0.02148648648648649,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.247,93.79,Tempelhof,2025,Immobilienscout24,0.01329566051817891,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
490.42,36.14,Unbekannt,2025,Immobilienscout24,13.570005534034312,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
844.08,71.23,Unbekannt,2025,Immobilienscout24,11.850063175628247,Groß (60-100 m²),Mittel (800-1200 €),Nach Corona (2023+)
606.48,42.5,Neukölln,2025,Immobilienscout24,14.270117647058823,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.448,78.11,Unbekannt,2025,Immobilienscout24,0.01853795928818333,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.748,96.95,Unbekannt,2025,Immobilienscout24,0.018029912325941207,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
820.62,37.42,Unbekannt,2025,Immobilienscout24,21.929983965793692,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
1.145,52.24,Unbekannt,2025,Immobilienscout24,0.021918070444104133,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
878.3,40.05,Unbekannt,2025,Immobilienscout24,21.93008739076155,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
614.4,48.0,Unbekannt,2025,Immobilienscout24,12.799999999999999,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
618.39,50.44,Unbekannt,2025,Immobilienscout24,12.259912767644726,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.537,90.17,Unbekannt,2025,Immobilienscout24,0.01704558057003438,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
700.0,28.59,Unbekannt,2025,Immobilienscout24,24.484085344526058,Klein (< 30 m²),Günstig (< 800 €),Nach Corona (2023+)
895.0,64.0,Unbekannt,2025,Immobilienscout24,13.984375,Groß (60-100 m²),Mittel (800-1200 €),Nach Corona (2023+)
1.97,70.0,Unbekannt,2025,Immobilienscout24,0.028142857142857143,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
3.233,107.0,Unbekannt,2025,Immobilienscout24,0.03021495327102804,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
3.031,107.0,Unbekannt,2025,Immobilienscout24,0.02832710280373832,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.582,62.32,Kreuzberg,2025,Immobilienscout24,0.025385109114249037,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.97,75.0,Kreuzberg,2025,Immobilienscout24,0.026266666666666667,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.414,67.0,Unbekannt,2025,Immobilienscout24,0.021104477611940297,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.309,53.72,Unbekannt,2025,Immobilienscout24,0.024367088607594935,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
2.091,75.0,Unbekannt,2025,Immobilienscout24,0.027880000000000002,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.539,67.0,Unbekannt,2025,Immobilienscout24,0.022970149253731344,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
2.02,68.0,Wilmersdorf,2025,Immobilienscout24,0.029705882352941176,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.713,55.0,Mitte,2025,Immobilienscout24,0.031145454545454546,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.744,59.0,Charlottenburg,2025,Immobilienscout24,0.029559322033898303,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.586,57.0,Steglitz,2025,Immobilienscout24,0.027824561403508773,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.798,63.0,Mitte,2025,Immobilienscout24,0.028539682539682542,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.192,39.56,Wilmersdorf,2025,Immobilienscout24,0.030131445904954497,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
3.629,159.0,Kreuzberg,2025,Immobilienscout24,0.022823899371069184,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
