rent,size_sqm,district,year,source,price_per_sqm,size_category,rent_category,period
909.0,31.44,Tempelhof,2025,Immobilienscout24,28.912213740458014,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
869.0,29.39,Tempelhof,2025,Immobilienscout24,29.567880231371213,Klein (< 30 m²),Mittel (800-1200 €),Nach Corona (2023+)
829.0,27.45,Tempelhof,2025,Immobilienscout24,30.200364298724956,Klein (< 30 m²),Mittel (800-1200 €),Nach Corona (2023+)
869.0,28.6,Tempelhof,2025,Immobilienscout24,30.384615384615383,Klein (< 30 m²),Mittel (800-1200 €),Nach Corona (2023+)
839.0,26.61,Tempelhof,2025,Immobilienscout24,31.529500187899288,Klein (< 30 m²),Mittel (800-1200 €),Nach Corona (2023+)
884.0,30.49,Tempelhof,2025,Immobilienscout24,28.993112495900295,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
2.14,62.4,Mitte,2025,Immobilienscout24,0.0342948717948718,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.46,69.87,Kreuzberg,2025,Immobilienscout24,0.0208959496207242,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
2.9,117.7,Charlottenburg,2025,Immobilienscout24,0.02463891248937978,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
2.86,115.3,Charlottenburg,2025,Immobilienscout24,0.024804856895056373,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
2.6,87.86,Charlottenburg,2025,Immobilienscout24,0.029592533576143866,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.1,36.88,Wilmersdorf,2025,Immobilienscout24,0.02982646420824295,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.7,44.5,Mitte,2025,Immobilienscout24,0.038202247191011236,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.78,62.33,Friedrichshain,2025,Immobilienscout24,0.02855767688111664,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
544.0,54.0,Unbekannt,2025,Immobilienscout24,10.074074074074074,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.9,95.0,Unbekannt,2025,Immobilienscout24,0.02,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
800.0,33.0,Unbekannt,2025,Immobilienscout24,24.242424242424242,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
1.144,65.8,Unbekannt,2025,Immobilienscout24,0.017386018237082065,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.343,56.0,Schöneberg,2025,Immobilienscout24,0.023982142857142858,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.5,67.0,Unbekannt,2025,Immobilienscout24,0.022388059701492536,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
870.0,74.0,Kreuzberg,2025,Immobilienscout24,11.756756756756756,Groß (60-100 m²),Mittel (800-1200 €),Nach Corona (2023+)
2.6,80.0,Kreuzberg,2025,Immobilienscout24,0.0325,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
800.0,38.0,Wilmersdorf,2025,Immobilienscout24,21.05263157894737,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
2.362,114.99,Kreuzberg,2025,Immobilienscout24,0.020540916601443606,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.8,80.0,Unbekannt,2025,Immobilienscout24,0.0225,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
900.0,59.0,Unbekannt,2025,Immobilienscout24,15.254237288135593,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
9.0,197.0,Unbekannt,2025,Immobilienscout24,0.04568527918781726,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
2.95,172.0,Charlottenburg,2025,Immobilienscout24,0.017151162790697675,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.13,35.0,Mitte,2025,Immobilienscout24,0.032285714285714286,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
750.0,25.0,Unbekannt,2025,Immobilienscout24,30.0,Klein (< 30 m²),Günstig (< 800 €),Nach Corona (2023+)
350.0,25.0,Hellersdorf,2025,Immobilienscout24,14.0,Klein (< 30 m²),Günstig (< 800 €),Nach Corona (2023+)
970.0,45.0,Wilmersdorf,2025,Immobilienscout24,21.555555555555557,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
600.0,34.0,Steglitz,2025,Immobilienscout24,17.647058823529413,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.95,60.51,Tiergarten,2025,Immobilienscout24,0.03222607833415964,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
990.0,55.0,Spandau,2025,Immobilienscout24,18.0,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
2.2,87.0,Kreuzberg,2025,Immobilienscout24,0.025287356321839084,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.65,80.0,Tiergarten,2025,Immobilienscout24,0.020624999999999998,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
2.2,77.0,Prenzlauer Berg,2025,Immobilienscout24,0.028571428571428574,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.17,95.0,Schöneberg,2025,Immobilienscout24,0.01231578947368421,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.928,134.86,Wedding,2025,Immobilienscout24,0.014296307281625387,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.55,47.0,Charlottenburg,2025,Immobilienscout24,0.03297872340425532,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.225,47.13,Charlottenburg,2025,Immobilienscout24,0.025991937194992574,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
995.0,40.2,Neukölln,2025,Immobilienscout24,24.751243781094526,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
1.2,27.0,Mitte,2025,Immobilienscout24,0.044444444444444446,Klein (< 30 m²),Günstig (< 800 €),Nach Corona (2023+)
850.0,51.0,Unbekannt,2025,Immobilienscout24,16.666666666666668,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
