ID,SORTE,PLZ,KALTMIETE,WARMMIETE,NEBENKOSTEN,KAUTION,HEIZUNGSKOSTEN,ZIMMER,PARKPLAETZE,WOHNFLAECHE,BAUJAHR,ZUSTAND,VERfÜGBAR AB,ENERGIEEFFIZIENSKLASSE,ENERGIEBEDARF/kWh/(m²*a),ENERGIEASUWEIS,Etagenheizung,Zentralheizung,Ofenheizung,offener Kamin,Luft-/Wasser-Wärmepumpe,Gas,Öl,Solar,Strom,Holz,Fernwärme,Erdwärme,Pellets,Kohle,Flüssiggas,KfW 55,Niedrigenergie,KfW 40,KfW 60,KfW 70,Neubaustandard,möbliert,teilweise möbliert,Alarmanlage,Garage,Carport,Tiefgarage,Duplex,Stellplatz,Klimaanlage,Sauna,Schwimmbad,See,Berge,Personenaufzug,Lastenaufzug,Keller,Waschraum,Bibliothek,Terrasse,Balkon,Garten,Einbauküche,Dusche,Badewanne,Bad mit Fenster,Gäste-WC,Fliesen,Parkett,Holz/Dielen,Laminat,Teppich,PVC/Linoleum,Stein,Marmor,Doppelboden,Terracotta,Sonstiges
48189482,Etagenwohnung,13125,746.79,1013.79,175.0,2240.37,92.0,4.0,,84.78,1998.0,saniert,2022-09-01 00:00:00,Klasse D,112.0,VERBRAUCHSAUSWEIS,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,0.0,1.0,,,,,,,,,,,
48188626,Etagenwohnung,13125,899.0,1159.0,115.0,2697.0,145.0,3.0,,74.58,1996.0,,2022-10-01 00:00:00,Klasse C,78.5,VERBRAUCHSAUSWEIS,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,,,,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
48155596,Etagenwohnung,13125,719.01,1019.01,170.0,2157.03,130.0,4.0,,82.61,1998.0,,2022-09-01 00:00:00,Klasse C,93.0,VERBRAUCHSAUSWEIS,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,
48333183,Etagenwohnung,13125,783.21,1045.21,166.0,2349.63,96.0,4.0,,87.42,1998.0,,2022-09-01 00:00:00,Klasse C,93.0,VERBRAUCHSAUSWEIS,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,
48468074,Etagenwohnung,13125,639.0,761.0,58.0,1917.0,64.0,2.0,,42.9,1997.0,,2022-10-01 00:00:00,Klasse B,74.7,VERBRAUCHSAUSWEIS,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
48467996,Etagenwohnung,13125,979.0,1200.0,140.0,2937.0,81.0,3.0,,73.52,1998.0,,2022-09-15 00:00:00,Klasse D,103.0,VERBRAUCHSAUSWEIS,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
48522486,Erdgeschosswohnung,13125,1499.0,1799.0,185.0,,115.0,3.0,,106.23,2019.0,,2022-10-16 00:00:00,Klasse B,74.1,BEDARFSAUSWEIS,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
48589375,Etagenwohnung,13125,409.0,548.0,63.0,1227.0,76.0,2.0,,44.03,1998.0,,2022-10-15 00:00:00,Klasse D,112.0,VERBRAUCHSAUSWEIS,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
48506437,Souterrainwohnung,13125,860.0,995.0,135.0,2500.0,,3.0,,73.0,,saniert,2022-05-01 00:00:00,Klasse D,117.21,BEDARFSAUSWEIS,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,,,,,,,,,,
48671593,Etagenwohnung,13125,569.0,751.0,102.0,1707.0,80.0,2.0,,62.81,1998.0,,2022-10-01 00:00:00,Klasse D,112.0,VERBRAUCHSAUSWEIS,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
