price,size,district,rooms,year,dataset_id,source,title,address,link,price_original,size_original
1205.0,47.5,Friedrichshain-Kreuzberg,,2025,recent,ImmobilienScout24,Neuvermietung + Modern ausgestattetes 1-Zimmer-Apartment nähe Viktoriapark,"Kreuzberg, Berlin",https://www.immobilienscout24.de/expose/159009439,1.205 €,"47,5 m²"
1250.0,55.0,Charlottenburg-Wilmersdorf,,2025,recent,ImmobilienScout24,"Heilbronner Straße 9, 10711 Berlin","Heilbronner Straße 9, Halensee, Berlin",https://www.immobilienscout24.de/expose/159753638,1.250 €,55 m²
1430.0,50.68,Mitte,,2025,recent,ImmobilienScout24,Möbliertes Wohnen in zentraler Lage in Mitte - Furnished living in central location in Mitte,"Beuthstraße 14, Mitte (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/158417716,1.430 €,"50,68 m²"
1625.0,70.0,Mitte,,2025,recent,ImmobilienScout24,Living at the KunstCampus Berlin’s New Luxury Waterfront Residence with Concierge Service & Privacy,"Am Hamburger Bahnhof 3, Moabit, Berlin",https://www.immobilienscout24.de/expose/158853032,1.625 €,70 m²
1450.0,60.0,Tempelhof-Schöneberg,,2025,recent,ImmobilienScout24,"Vollmöblierte, 2-Zimmer-Wohnung in Berlin Schöneberg","Geisbergstrasse 1, Schöneberg, Berlin",https://www.immobilienscout24.de/expose/159694072,1.450 €,60 m²
1740.42,105.48,Tempelhof-Schöneberg,,2025,recent,ImmobilienScout24,Nollendorf-Kiez - Kernsanierte und modernisierte Altbauwohnung,"Schöneberg, Berlin",https://www.immobilienscout24.de/expose/129851403,"1.740,42 €","105,48 m²"
2100.0,140.0,Pankow,,2025,recent,ImmobilienScout24,"4 Zimmer Gewerbe oder WG, hell, gut gelegen - Wohnen und Arbeiten","Prenzlauer Promenade 23, Weißensee, Berlin",https://www.immobilienscout24.de/expose/159902165,2.100 €,140 m²
1199.0,24.0,Mitte,,2025,recent,ImmobilienScout24,"Geschmackvolle, neuwertige 1-Raum-Wohnung mit gehobener Innenausstattung in Berlin Tiergarten","Lehrter Straße 24b, Moabit, Berlin",https://www.immobilienscout24.de/expose/151906946,1.199 €,24 m²
979.0,35.0,Charlottenburg-Wilmersdorf,,2025,recent,ImmobilienScout24,Charmantes City-Apartment direkt am Ludwigkirchplatz,"Wilmersdorf, Berlin",https://www.immobilienscout24.de/expose/159136600,979 €,35 m²
3660.0,122.0,Charlottenburg-Wilmersdorf,,2025,recent,ImmobilienScout24,Elegante Neubauwohnung mit 3 Balkonen und Tiefgarage in der City-West,"Wilmersdorf, Berlin",https://www.immobilienscout24.de/expose/158699899,3.660 €,122 m²
2990.0,147.0,Pankow,,2025,recent,ImmobilienScout24,Elegantes Penthouse nahe Prenzlauer Berg: 4-Zimmer-Maisonette-Dachgeschoss mit tollem Süd-Ausblick,"Pankow (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159789421,2.990 €,147 m²
2000.0,73.0,Pankow,,2025,recent,ImmobilienScout24,Exklusive 3-Zimmer-Dachgeschosswohnung mit geh. Innenausstattung mit EBK in Berlin Prenzlauer Berg,"Schivelbeiner Straße 7, Prenzlauer Berg, Berlin",https://www.immobilienscout24.de/expose/158863630,2.000 €,73 m²
4950.0,226.15,Charlottenburg-Wilmersdorf,,2025,recent,ImmobilienScout24,Großzügige Altbau-Wohnung in Berlin-Charlottenburg,"Wilmersdorf, Berlin",https://www.immobilienscout24.de/expose/151068443,4.950 €,"226,15 m²"
4663.0,186.52,Charlottenburg-Wilmersdorf,,2025,recent,ImmobilienScout24,Grüne Oase über den Dächern – Luxuriöses Penthouse mit großzügigem Dachgarten,"Charlottenburg, Berlin",https://www.immobilienscout24.de/expose/157555622,4.663 €,"186,52 m²"
2700.0,118.0,Pankow,,2025,recent,ImmobilienScout24,"Schöne, geräumige drei Zimmer Wohnung in Berlin, Prenzlauer Berg","Prenzlauer Allee 36L, Prenzlauer Berg, Berlin",https://www.immobilienscout24.de/expose/118238241,2.700 €,118 m²
950.0,65.0,Steglitz-Zehlendorf,,2025,recent,ImmobilienScout24,Vertrag max. 4 Jahre: Helle vollständig sanierte Dreizimmer-Wohnung direkt am Stadtpark,"Gravelottestraße 16, Steglitz, Berlin",https://www.immobilienscout24.de/expose/159902716,950 €,65 m²
675.0,33.0,Charlottenburg-Wilmersdorf,,2025,recent,ImmobilienScout24,Fully furnished studio apartment in Charlottenburg,"Würzburgerstr. 5-7, Wilmersdorf, Berlin",https://www.immobilienscout24.de/expose/159773339,675 €,33 m²
1025.0,49.0,Mitte,,2025,recent,ImmobilienScout24,Furnished: Luxury apartment with a private garden in Berlin-Mitte,"Grüntaler Straße 58, Gesundbrunnen, Berlin",https://www.immobilienscout24.de/expose/159612286,1.025 €,49 m²
1660.0,72.0,Pankow,,2025,recent,ImmobilienScout24,Stilvolle 2-Zimmer-Wohnung mit Luxus Innenausstattung mit Balkon und EBK in Berlin Prenzlauer Berg,"Stahlheimer Straße 25, Prenzlauer Berg, Berlin",https://www.immobilienscout24.de/expose/157983452,1.660 €,72 m²
500.0,13.0,Pankow,,2025,recent,ImmobilienScout24,WG Zimmer nahe S/U-Bhf Pankow,"Parkstraße 60, Pankow (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159900773,500 €,13 m²
2500.0,125.0,Friedrichshain-Kreuzberg,,2025,recent,ImmobilienScout24,Hochwertig möblierte Maisonette-Wohnung in Friedrichshain!,"Gürtelstrasse 38, Friedrichshain, Berlin",https://www.immobilienscout24.de/expose/157409335,2.500 €,125 m²
1000.0,26.0,Friedrichshain-Kreuzberg,,2025,recent,ImmobilienScout24,Single East Side Apartment - all inclusive Miete & voll möbliert - urban & idyllisch ab SOFORT,"Helsingforser Straße 15, Friedrichshain, Berlin",https://www.immobilienscout24.de/expose/126969853,1.000 €,26 m²
1839.6,62.11,Mitte,,2025,recent,ImmobilienScout24,Neubauwohnung direkt am Gleisdreieckpark – urbanes Wohnen mit Naturblick,"Dennewitzstraße 43 41-43, Tiergarten, Berlin",https://www.immobilienscout24.de/expose/158867737,"1.839,60 €","62,11 m²"
2010.0,74.78,Mitte,,2025,recent,ImmobilienScout24,Moderne 2-Zimmer-Wohnung mit Balkon und Einbauküche,"Dennewitzstr. 41-43, Tiergarten, Berlin",https://www.immobilienscout24.de/expose/155164926,2.010 €,"74,78 m²"
1815.0,67.65,Friedrichshain-Kreuzberg,,2025,recent,ImmobilienScout24,Großzügig geschnittene 2-Zimmer Wohnung mit Balkon,"Dennewitzstr. 42, Kreuzberg, Berlin",https://www.immobilienscout24.de/expose/153874662,1.815 €,"67,65 m²"
2545.0,98.27,Mitte,,2025,recent,ImmobilienScout24,Neubauwohnung direkt am Gleisdreieckpark – urbanes Wohnen mit Naturblick,"Dennewitzstraße 43, Tiergarten, Berlin",https://www.immobilienscout24.de/expose/158975845,2.545 €,"98,27 m²"
1295.0,70.0,Mitte,,2025,recent,ImmobilienScout24,Lichtdurchflutete sehr zentrale  Dachwohnung,"Wedding, Berlin",https://www.immobilienscout24.de/expose/159821598,1.295 €,70 m²
995.0,50.0,Pankow,,2025,recent,ImmobilienScout24,"Großzügige, helle Wohnung im Prenzlauer Berg","Danzigerstr. 128, Prenzlauer Berg, Berlin",https://www.immobilienscout24.de/expose/159887218,995 €,50 m²
850.0,22.5,Pankow,,2025,recent,ImmobilienScout24,Weißensee: Berliner Allee: ERSTBEZUG im NEUBAU - ab SOFORT: 1-Zi-Whg mit 22 m² - VHS 3. OG,"Weißensee, Berlin",https://www.immobilienscout24.de/expose/159896695,850 €,"22,5 m²"
1337.0,66.83,Tempelhof-Schöneberg,,2025,recent,ImmobilienScout24,Tolle 2 Zimmer Wohnung mit Balkon und Einbauküche,"In den Alboingärten 29, Schöneberg, Berlin",https://www.immobilienscout24.de/expose/159801992,1.337 €,"66,83 m²"
1050.0,66.21,Neukölln,,2025,recent,ImmobilienScout24,Schöne 2-Zimmer-Neubauwohnung in der Nähe des Tempelhofer Feldes,"Mariendorfer Weg 52, Neukölln (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159630949,1.050 €,"66,21 m²"
1520.0,79.98,Tempelhof-Schöneberg,,2025,recent,ImmobilienScout24,Charmante Dachgeschosswohnung in Berlin mit Terrasse,"In den Alboingärten 7, Schöneberg, Berlin",https://www.immobilienscout24.de/expose/159605210,1.520 €,"79,98 m²"
1972.0,101.11,Tempelhof-Schöneberg,,2025,recent,ImmobilienScout24,Helles Dachgeschossapartment mit Terrasse in Berlin,"In den Alboingärten 21, Schöneberg, Berlin",https://www.immobilienscout24.de/expose/159604876,1.972 €,"101,11 m²"
2057.0,110.87,Tempelhof-Schöneberg,,2025,recent,ImmobilienScout24,4 Zimmer Wohnung mit Balkon und Einbauküche,"In den Alboingärten 21, Schöneberg, Berlin",https://www.immobilienscout24.de/expose/159604499,2.057 €,"110,87 m²"
2056.0,110.83,Tempelhof-Schöneberg,,2025,recent,ImmobilienScout24,4 Zimmer Wohnung mit Balkon und Einbauküche,"In den Alboingärten 19, Schöneberg, Berlin",https://www.immobilienscout24.de/expose/159604310,2.056 €,"110,83 m²"
1260.0,66.05,Neukölln,,2025,recent,ImmobilienScout24,"2-Zimmer-Neubauwohnung in Neukölln mit Balkon, EBK und Fußbodenheizung","Mariendorfer Weg 52, Neukölln (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159506439,1.260 €,"66,05 m²"
1294.67,56.29,Pankow,,2025,recent,ImmobilienScout24,Moderne 2-Zimmer-Wohnung mit Balkon in Berlin,"Rosenthaler Weg 50, Französisch Buchholz, Berlin",https://www.immobilienscout24.de/expose/159472134,"1.294,67 €","56,29 m²"
