PLZ,Ortsteil,Bezirk,Lat,Lon,Entries,Ortsteile_Count
12163,Steglitz,Steglitz-Zehlendorf,52.45,13.3167,1317,1
12165,Lichterfelde,Steglitz-Zehlendorf,52.4333,13.3,1084,2
12167,Steglitz,Steglitz-Zehlendorf,52.45,13.3167,1350,1
12169,Steglitz,Steglitz-Zehlendorf,52.45,13.3167,1416,1
12203,Lichterfelde,Steglitz-Zehlendorf,52.4333,13.3,2292,1
12205,Lichterfelde,Steglitz-Zehlendorf,52.4333,13.3,2881,1
12207,Lichterfelde,Steglitz-Zehlendorf,52.4333,13.3,2914,1
12209,Lichterfelde,Steglitz-Zehlendorf,52.4333,13.3,3343,1
12247,Steglitz,Steglitz-Zehlendorf,52.45,13.3167,5670,2
12249,Lankwitz,Steglitz-Zehlendorf,52.4333,13.35,3539,1
12277,Mariendorf,Tempelhof-Schöneberg,52.4333,13.3833,6418,2
12279,Marienfelde,Tempelhof-Schöneberg,52.4,13.3667,1044,1
12305,Lichtenrade,Tempelhof-Schöneberg,52.3833,13.4,4596,1
12307,Marienfelde,Tempelhof-Schöneberg,52.4,13.3667,6978,2
12309,Lichtenrade,Tempelhof-Schöneberg,52.3833,13.4,3020,1
12347,Britz,Neukölln,52.4167,13.4167,2153,1
12349,Buckow,Neukölln,52.4167,13.4333,3875,1
12351,Britz,Neukölln,52.4167,13.4167,2599,1
12353,Gropiusstadt,Neukölln,52.4,13.4333,5514,2
12355,Rudow,Neukölln,52.4,13.4667,6783,1
12357,Gropiusstadt,Neukölln,52.4,13.4333,4208,1
12359,Britz,Neukölln,52.4167,13.4167,2762,1
12435,Plänterwald,Treptow-Köpenick,52.4833,13.4833,2366,2
12437,Niederschöneweide,Treptow-Köpenick,52.4333,13.5,8253,3
12439,Niederschöneweide,Treptow-Köpenick,52.4333,13.5,1370,1
12459,Oberschöneweide,Treptow-Köpenick,52.45,13.5167,2004,1
12487,Johannisthal,Treptow-Köpenick,52.4333,13.5333,3212,1
12489,Johannisthal,Treptow-Köpenick,52.4333,13.5333,5810,2
12524,Altglienicke,Treptow-Köpenick,52.3833,13.5333,6830,1
12526,Bohnsdorf,Treptow-Köpenick,52.3833,13.5667,4750,1
12527,Schmöckwitz,Treptow-Köpenick,52.3667,13.65,7020,2
12555,Friedrichshagen,Treptow-Köpenick,52.4333,13.6167,14034,3
12557,Köpenick,Treptow-Köpenick,52.4333,13.5667,4039,1
12559,Köpenick,Treptow-Köpenick,52.4333,13.5667,9142,2
12587,Friedrichshagen,Treptow-Köpenick,52.4333,13.6167,2917,1
12589,Rahnsdorf,Treptow-Köpenick,52.4167,13.6833,4728,1
12619,Hellersdorf,Marzahn-Hellersdorf,52.5167,13.5833,1463,1
12621,Kaulsdorf,Marzahn-Hellersdorf,52.5167,13.5833,7421,1
12623,Mahlsdorf,Marzahn-Hellersdorf,52.5,13.6167,12987,1
12627,Hellersdorf,Marzahn-Hellersdorf,52.5167,13.5833,2076,1
12629,Hellersdorf,Marzahn-Hellersdorf,52.5167,13.5833,819,1
12679,Marzahn,Marzahn-Hellersdorf,52.5333,13.55,933,1
12681,Marzahn,Marzahn-Hellersdorf,52.5333,13.55,1621,1
12683,Biesdorf,Marzahn-Hellersdorf,52.5,13.55,8937,1
12685,Marzahn,Marzahn-Hellersdorf,52.5333,13.55,1708,1
12687,Marzahn,Marzahn-Hellersdorf,52.5333,13.55,559,1
12689,Marzahn,Marzahn-Hellersdorf,52.5333,13.55,1029,1
13051,Malchow,Lichtenberg,52.5733,13.4667,1137,1
13053,Neu-Hohenschönhausen,Lichtenberg,52.55,13.5,3308,1
13055,Alt-Hohenschönhausen,Lichtenberg,52.55,13.5,2027,1
13057,Falkenberg,Lichtenberg,52.5833,13.5333,1583,1
13059,Wartenberg,Lichtenberg,52.5667,13.5167,2113,1
13086,Weissensee,Pankow,,,2860,1
13088,Heinersdorf,Pankow,52.5755,13.4456,3013,1
13089,Pankow,Pankow,52.5692,13.4018,2474,1
13125,Französisch Buchholz,Pankow,52.614,13.42,20352,3
13127,Französisch Buchholz,Pankow,52.614,13.42,6099,1
13129,Blankenburg,Pankow,52.5964,13.4564,4015,1
13156,Niederschönhausen,Pankow,52.5756,13.4,4403,1
13158,Wilhelmsruh,Pankow,52.5897,13.4186,11116,2
13159,Blankenfelde,Pankow,52.6033,13.3889,1521,1
13187,Niederschönhausen,Pankow,52.5756,13.4,4758,2
13189,Pankow,Pankow,52.5692,13.4018,1878,1
13347,Gesundbrunnen,Mitte,52.5511,13.3885,1988,2
13349,Wedding,Mitte,52.55,13.365,765,1
