price,size,district,year,dataset,rooms
2208.0,138.0,Charlottenburg,2019,historical,5.0
819.0,81.9,Reinickendorf,2019,historical,2.0
965.1,111.96,Lichterfelde_Steglitz,2019,historical,3.0
400.0,40.29,Oberschöneweide_Köpenick,2019,historical,2.0
1000.0,40.0,Kreuzberg,2019,historical,1.0
1261.5,82.0,Wilmersdorf,2019,historical,3.0
1400.0,45.55,Friedrichshain,2019,historical,2.0
1295.62,58.23,Friedrichshain,2019,historical,2.0
778.4,56.0,Karlshorst_Lichtenberg,2019,historical,2.0
650.0,68.0,Buckow_Neukölln,2019,historical,2.5
1065.0,60.5,Wilmersdorf,2019,historical,2.0
900.0,77.0,Lichtenberg,2019,historical,3.0
450.59,58.77,Buckow_Neukölln,2019,historical,2.0
3400.0,224.0,Lichterfelde_Steglitz,2019,historical,5.0
693.84,96.5,Wedding,2019,historical,3.0
603.0,30.15,Niederschöneweide_Treptow,2019,historical,1.0
893.92,61.03,Friedrichsfelde_Lichtenberg,2019,historical,2.0
850.0,29.0,Wedding,2019,historical,1.0
750.0,70.0,Adlershof_Treptow,2019,historical,2.5
649.0,67.21,Friedrichsfelde_Lichtenberg,2019,historical,2.5
1350.0,40.0,Mitte,2019,historical,2.0
1250.0,87.0,Johannisthal_Treptow,2019,historical,3.0
818.15,105.16,Lichterfelde_Steglitz,2019,historical,3.5
800.0,43.06,Reinickendorf,2019,historical,2.0
1060.0,53.02,Weißensee,2019,historical,2.0
1160.0,70.0,Prenzlauer_Berg_Prenzlauer_Berg,2019,historical,2.0
525.19,69.4,Hellersdorf,2019,historical,3.0
421.77,47.0,Johannisthal_Treptow,2019,historical,1.0
999.0,107.3,Oberschöneweide_Köpenick,2019,historical,3.0
1570.0,93.0,Tiergarten,2019,historical,3.0
1704.68,97.41,Mitte,2019,historical,3.0
1595.0,82.75,Mitte,2019,historical,3.0
420.14,68.82,Marzahn,2019,historical,3.0
1158.82,113.61,Alt_Hohenschönhausen_Hohenschönhausen,2019,historical,4.0
2220.43,108.05,Tiergarten,2019,historical,4.0
1198.0,49.9,Prenzlauer_Berg_Prenzlauer_Berg,2019,historical,2.0
860.0,48.0,Friedrichshain,2019,historical,1.5
1142.12,94.0,Schöneberg,2019,historical,3.5
634.76,63.54,Weißensee,2019,historical,1.0
995.0,74.73,Charlottenburg,2019,historical,3.0
1555.0,82.0,Kreuzberg,2019,historical,2.0
486.15,68.86,Lichterfelde_Steglitz,2019,historical,2.5
3265.42,143.54,Mitte,2019,historical,3.5
1349.0,85.36,Prenzlauer_Berg_Prenzlauer_Berg,2019,historical,3.0
1450.0,109.0,Mitte,2019,historical,1.0
500.0,57.5,Buch_Pankow,2019,historical,1.0
589.0,64.0,Neukölln,2019,historical,2.0
690.0,52.0,Zehlendorf,2019,historical,2.0
449.0,37.0,Lankwitz_Steglitz,2019,historical,1.0
699.0,42.0,Charlottenburg,2019,historical,1.0
735.0,71.98,Niederschöneweide_Treptow,2019,historical,2.0
1666.68,98.04,Tiergarten,2019,historical,3.0
1094.0,60.76,Schöneberg,2019,historical,2.0
1000.0,54.95,Friedrichshain,2019,historical,2.0
816.0,75.0,Weißensee,2019,historical,2.0
4415.0,260.0,Mitte,2019,historical,3.0
713.0,69.26,Köpenick,2019,historical,3.0
695.64,70.94,Wedding,2019,historical,2.0
1621.76,112.31,Neukölln,2019,historical,3.0
1144.0,88.0,Reinickendorf,2019,historical,3.0
990.0,74.68,Französisch_Buchholz_Pankow,2019,historical,2.0
1790.0,107.89,Mitte,2019,historical,4.0
870.0,56.0,Kreuzberg,2019,historical,2.0
1290.0,51.0,Rosenthal_Pankow,2019,historical,2.0
451.52,56.44,Biesdorf_Marzahn,2019,historical,2.0
4985.0,151.4,Mitte,2019,historical,4.0
290.0,33.0,Waidmannslust_Reinickendorf,2019,historical,1.0
967.13,99.91,Wilmersdorf,2019,historical,4.0
3500.0,235.0,Zehlendorf,2019,historical,6.0
533.97,59.33,Buckow_Neukölln,2019,historical,1.5
1584.8,3.0,Neukölln,2019,historical,99.5
497.0,74.29,Spandau,2019,historical,3.0
1961.46,115.38,Mitte,2019,historical,4.0
2242.64,131.92,Mitte,2019,historical,5.0
1025.0,60.78,Friedrichshain,2019,historical,2.0
430.0,47.63,Köpenick,2019,historical,2.0
2419.0,138.96,Prenzlauer_Berg_Prenzlauer_Berg,2019,historical,3.0
669.0,59.43,Siemensstadt_Spandau,2019,historical,2.0
528.13,32.5,Friedrichsfelde_Lichtenberg,2019,historical,1.0
661.0,55.05,Reinickendorf,2019,historical,2.0
541.7,60.19,Spandau,2019,historical,2.0
1100.0,30.0,Prenzlauer_Berg_Prenzlauer_Berg,2019,historical,2.0
800.0,54.17,Pankow,2019,historical,1.0
