title,price,size,address,link,is_split_from_multi,original_multi_count
LAIKA AM TACHELES: Erstklassiges Wohnerlebnis in Bestlage (Unit 7/7),3450.0,78.0,"Johannisplatz 3, 10117 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/laika-am-tacheles-gmbh-co-kg/laika-am-tacheles/137883.html,True,7.0
Jetzt verfügbar! Vollmöblierte 1-Zimmer-Wohnung in Bestlage! Anmeldung möglich!,980.0,24.6,"Kreutzigerstraße 14, Friedrichshain, Berlin",https://www.immobilienscout24.de/expose/159628346,,
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 1/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 2/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 3/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 4/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 5/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 6/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 7/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 8/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 9/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 10/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 11/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 12/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 13/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 14/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
