price,size,district,rooms,year,dataset_id,source,street,floor,typeOfFlat,yearConstructed,totalRent,plz
640.0,11.0,Tiergarten,1.0,2019,historical,Kaggle/Immobilienscout24,Klara Franke Strasse,5.0,apartment,,690.0,10785
1577.34,68.58,Mitte,2.0,2019,historical,Kaggle/Immobilienscout24,Invalidenstrasse,2.0,,1915.0,1783.08,10409
520.75,54.07,Spandau,1.5,2019,historical,Kaggle/Immobilienscout24,Wasserwerkstr.,6.0,apartment,1964.0,685.97,13627
3700.0,180.0,Prenzlauer,4.0,2019,historical,Kaggle/Immobilienscout24,no_information,3.0,loft,1900.0,,10439
351.0,54.0,Adlershof,2.0,2019,historical,Kaggle/Immobilienscout24,Newtonstrasse,2.0,apartment,2019.0,475.2,12489
503.87,57.33,Friedenau,2.0,2019,historical,Kaggle/Immobilienscout24,Rubensstra&szlig;e,1.0,apartment,1900.0,627.13,12161
365.37,51.0,Alt,2.0,2019,historical,Kaggle/Immobilienscout24,Gro&szlig;e-Leege-Str.,1.0,ground_floor,1930.0,489.2,12524
2750.0,106.1,Mitte,4.0,2019,historical,Kaggle/Immobilienscout24,no_information,5.0,,2016.0,2990.0,10409
575.0,40.34,Wedding,2.0,2019,historical,Kaggle/Immobilienscout24,M&uuml;llerstr.,4.0,apartment,1900.0,700.0,13349
1599.0,81.5,Prenzlauer,3.0,2019,historical,Kaggle/Immobilienscout24,Stra&szlig;burgerstr,2.0,,,1734.0,10439
560.0,19.5,Mitte,1.0,2019,historical,Kaggle/Immobilienscout24,Wadzeckstra&szlig;e,6.0,,,660.0,10409
1210.0,62.0,Schöneberg,2.0,2019,historical,Kaggle/Immobilienscout24,Ansbacher Stra&szlig;e,1.0,apartment,,1350.0,10829
625.0,78.88,Friedrichshain,2.0,2019,historical,Kaggle/Immobilienscout24,Simon-Dach-Stra&szlig;e,0.0,ground_floor,1920.0,750.0,10247
629.0,59.95,Wedding,2.0,2019,historical,Kaggle/Immobilienscout24,Kiautschoustra&szlig;e,1.0,apartment,1900.0,714.0,13349
1763.63,160.33,Weißensee,7.0,2019,historical,Kaggle/Immobilienscout24,Brodenbacher Weg,5.0,apartment,2019.0,2244.62,13088
510.0,38.0,Friedrichsfelde,1.0,2019,historical,Kaggle/Immobilienscout24,Allee der Kosmonauten,,apartment,2016.0,620.0,12685
745.0,68.0,Karlshorst,2.5,2019,historical,Kaggle/Immobilienscout24,no_information,,roof_storey,1997.0,845.0,10318
2952.36,164.0,Prenzlauer,4.0,2019,historical,Kaggle/Immobilienscout24,"Malm&ouml;er Stra&szlig;e, WE",,apartment,2019.0,3362.41,10439
2481.92,155.12,Charlottenburg,4.0,2019,historical,Kaggle/Immobilienscout24,Meinekestra&szlig;e,7.0,apartment,1992.0,2992.67,10629
668.0,81.14,Siemensstadt,3.0,2019,historical,Kaggle/Immobilienscout24,Nonnendammallee,4.0,,1957.0,899.0,13629
973.0,57.95,Tiergarten,2.0,2019,historical,Kaggle/Immobilienscout24,Ufnaustra&szlig;e,1.0,apartment,1905.0,1100.0,10785
2215.0,119.0,Tiergarten,4.0,2019,historical,Kaggle/Immobilienscout24,Gabriele Tergit Promenade,6.0,apartment,2019.0,2700.0,10785
400.0,30.0,Wilmersdorf,1.0,2019,historical,Kaggle/Immobilienscout24,Bundesallee,1.0,,1968.0,490.0,12161
340.0,20.0,Oberschöneweide,1.0,2019,historical,Kaggle/Immobilienscout24,Slabystra&szlig;e,4.0,apartment,,480.0,12459
1100.0,58.3,Pankow,2.0,2019,historical,Kaggle/Immobilienscout24,Damerowstra&szlig;e,2.0,apartment,1905.0,1190.0,13189
439.0,35.49,Hellersdorf,1.0,2019,historical,Kaggle/Immobilienscout24,Havell&auml;nder Ring,3.0,apartment,1985.0,526.0,12629
625.0,30.44,Prenzlauer,1.0,2019,historical,Kaggle/Immobilienscout24,Kors&ouml;rer Str.,,apartment,1902.0,700.0,10439
491.0,29.6,Neukölln,1.0,2019,historical,Kaggle/Immobilienscout24,Kiehlufer,3.0,apartment,1900.0,559.0,12057
1488.0,87.55,Tiergarten,3.0,2019,historical,Kaggle/Immobilienscout24,Alte Potsdamer Stra&szlig;e,5.0,apartment,1998.0,1882.0,10785
473.01,56.92,Spandau,2.0,2019,historical,Kaggle/Immobilienscout24,Burbacher Weg,0.0,ground_floor,1964.0,649.92,13583
1015.0,96.47,Grünau,3.0,2019,historical,Kaggle/Immobilienscout24,Regattastra&szlig;e,0.0,roof_storey,1999.0,1270.0,12527
1080.0,54.0,Neukölln,2.0,2019,historical,Kaggle/Immobilienscout24,Bendastra&szlig;e,,apartment,,1160.0,12045
800.0,80.86,Köpenick,3.0,2019,historical,Kaggle/Immobilienscout24,Luisenstra&szlig;e,0.0,ground_floor,1900.0,1000.0,12557
7000.0,307.0,Mitte,5.0,2019,historical,Kaggle/Immobilienscout24,Linienstra&szlig;e,0.0,maisonette,1900.0,7850.0,10409
2964.0,247.0,Charlottenburg,7.0,2019,historical,Kaggle/Immobilienscout24,Marburger Str,5.0,roof_storey,1895.0,3704.0,10629
570.0,57.0,Johannisthal,2.0,2019,historical,Kaggle/Immobilienscout24,Sterndamm,3.0,apartment,1920.0,700.0,12487
1596.0,76.0,Kreuzberg,3.0,2019,historical,Kaggle/Immobilienscout24,Hallesche Stra&szlig;e,5.0,apartment,2017.0,1961.0,10967
227.85,29.4,Lichterfelde,1.0,2019,historical,Kaggle/Immobilienscout24,no_information,,half_basement,1904.0,374.85,12203
900.0,45.0,Tiergarten,1.5,2019,historical,Kaggle/Immobilienscout24,Bredowstra&szlig;e,5.0,apartment,,900.0,10785
1201.0,103.55,Köpenick,3.0,2019,historical,Kaggle/Immobilienscout24,An der Filmfabrik,,apartment,,1594.0,12555
440.25,61.85,Marzahn,2.0,2019,historical,Kaggle/Immobilienscout24,B&auml;rensteinstr.,3.0,apartment,1980.0,660.0,12687
867.24,72.27,Grünau,2.0,2019,historical,Kaggle/Immobilienscout24,Dahmestra&szlig;e,0.0,ground_floor,2017.0,1067.24,12527
800.0,62.0,Konradshöhe,2.0,2019,historical,Kaggle/Immobilienscout24,no_information,,apartment,,900.0,13505
749.0,74.49,Karow,3.0,2019,historical,Kaggle/Immobilienscout24,Pfannschmitdtstr.,1.0,apartment,1997.0,953.0,13125
505.0,21.0,Heinersdorf,1.0,2019,historical,Kaggle/Immobilienscout24,Tino-Schwierzina-Stra&szlig;e,3.0,apartment,2016.0,655.0,13088
1301.16,92.94,Tiergarten,3.0,2019,historical,Kaggle/Immobilienscout24,Flottwellstra&szlig;e,1.0,apartment,2015.0,1543.16,10785
1084.59,100.1,Wilmersdorf,3.0,2019,historical,Kaggle/Immobilienscout24,Bregenzer Stra&szlig;e,4.0,,1914.0,1250.75,10717
1299.0,84.72,Neukölln,3.0,2019,historical,Kaggle/Immobilienscout24,Fuldastra&szlig;e,1.0,apartment,1900.0,,12045
898.0,56.13,Schöneberg,2.0,2019,historical,Kaggle/Immobilienscout24,Rosenheimer Stra&szlig;e,0.0,raised_ground_floor,1956.0,1048.0,10829
695.0,50.0,Wedding,1.0,2019,historical,Kaggle/Immobilienscout24,Triftstrasse,0.0,ground_floor,1904.0,795.0,13349
1350.0,103.0,Wilmersdorf,3.0,2019,historical,Kaggle/Immobilienscout24,Blissestr.,1.0,apartment,1906.0,1560.0,10717
1300.0,129.0,Charlottenburg,4.0,2019,historical,Kaggle/Immobilienscout24,no_information,1.0,apartment,1897.0,1442.0,10629
960.0,97.79,Charlottenburg,3.0,2019,historical,Kaggle/Immobilienscout24,Reichsstr.,4.0,apartment,1954.0,1240.0,10629
640.0,10.0,Tiergarten,1.0,2019,historical,Kaggle/Immobilienscout24,Klara Franke Stra&szlig;e,1.0,apartment,,690.0,10785
409.0,29.2,Lichterfelde,1.0,2019,historical,Kaggle/Immobilienscout24,Platz des 4 Juli,1.0,,1937.0,499.0,12203
1750.0,109.0,Mitte,3.0,2019,historical,Kaggle/Immobilienscout24,Bauhofstr.,1.0,apartment,2012.0,2050.0,10409
394.85,46.02,Spandau,1.5,2019,historical,Kaggle/Immobilienscout24,Germersheimer Weg,3.0,apartment,1961.0,576.58,13583
469.0,63.0,Waidmannslust,2.0,2019,historical,Kaggle/Immobilienscout24,Zabel-Kr&uuml;ger-Damm,4.0,apartment,1967.0,699.0,
410.0,62.0,Reinickendorf,2.0,2019,historical,Kaggle/Immobilienscout24,Pankower Allee,2.0,apartment,1909.0,510.0,13409
660.0,70.34,Buch,2.0,2019,historical,Kaggle/Immobilienscout24,Wiltbergstra&szlig;e,1.0,apartment,1912.0,892.0,13125
5000.0,120.0,Friedrichshain,3.5,2019,historical,Kaggle/Immobilienscout24,no_information,5.0,roof_storey,,6500.0,10247
1750.0,81.88,Mitte,3.0,2019,historical,Kaggle/Immobilienscout24,R&uuml;ckerstra&szlig;e,3.0,apartment,1995.0,2000.0,10409
770.0,70.0,Tiergarten,2.0,2019,historical,Kaggle/Immobilienscout24,Rostocker Str.,4.0,apartment,1893.0,920.0,10785
199.0,20.0,Lichtenrade,1.0,2019,historical,Kaggle/Immobilienscout24,Alt-Lichtenrade,,other,,,12309
1850.0,92.0,Charlottenburg,2.0,2019,historical,Kaggle/Immobilienscout24,Kurf&uuml;rstendamm,2.0,apartment,1903.0,,10629
488.54,55.39,Wittenau,2.0,2019,historical,Kaggle/Immobilienscout24,Drostestra&szlig;e,,ground_floor,1930.0,643.54,13403
599.0,48.0,Tiergarten,2.0,2019,historical,Kaggle/Immobilienscout24,Beusselstra&szlig;e,3.0,apartment,1900.0,729.0,10785
565.88,81.59,Hellersdorf,4.0,2019,historical,Kaggle/Immobilienscout24,Zossener Str.,3.0,apartment,1986.0,794.74,12629
814.0,52.52,Friedrichshain,2.0,2019,historical,Kaggle/Immobilienscout24,Ebertystra&szlig;e,0.0,ground_floor,1901.0,,10247
2208.0,138.0,Charlottenburg,5.0,2019,historical,Kaggle/Immobilienscout24,no_information,5.0,roof_storey,1900.0,2622.0,10629
819.0,81.9,Reinickendorf,2.0,2019,historical,Kaggle/Immobilienscout24,Rue du Commandant Jean Tulasne,3.0,apartment,2019.0,1039.41,13405
965.1,111.96,Lichterfelde,3.0,2019,historical,Kaggle/Immobilienscout24,no_information,2.0,apartment,1989.0,1320.1,12203
400.0,40.29,Oberschöneweide,2.0,2019,historical,Kaggle/Immobilienscout24,Gau&szlig;stra&szlig;e,5.0,apartment,1900.0,530.0,12459
1000.0,40.0,Kreuzberg,1.0,2019,historical,Kaggle/Immobilienscout24,no_information,3.0,apartment,,1200.0,10967
1261.5,82.0,Wilmersdorf,3.0,2019,historical,Kaggle/Immobilienscout24,no_information,3.0,apartment,1910.0,1471.5,10717
1400.0,45.55,Friedrichshain,2.0,2019,historical,Kaggle/Immobilienscout24,no_information,2.0,apartment,,1400.0,10247
1295.62,58.23,Friedrichshain,2.0,2019,historical,Kaggle/Immobilienscout24,Stralauer Platz,10.0,apartment,,1441.19,10243
778.4,56.0,Karlshorst,2.0,2019,historical,Kaggle/Immobilienscout24,Robert-Siewert-Stra&szlig;e,,apartment,2019.0,873.4,10318
650.0,68.0,Buckow,2.5,2019,historical,Kaggle/Immobilienscout24,Alt-Buckow,,apartment,,950.0,12349
1065.0,60.5,Wilmersdorf,2.0,2019,historical,Kaggle/Immobilienscout24,Ringbahnstra&szlig;e,0.0,ground_floor,1900.0,1365.0,10717
900.0,77.0,Lichtenberg,3.0,2019,historical,Kaggle/Immobilienscout24,Weitlingstra&szlig;e,3.0,apartment,1917.0,1060.0,10369
