PLZ,Ortsteil,Bezirk,Lat,Lon
12279,Marienfelde,Tempelhof-Schöneberg,52.4,13.3667
12305,Lichtenrade,Tempelhof-Schöneberg,52.3833,13.4
12307,Marienfelde,Tempelhof-Schöneberg,52.4,13.3667
12309,Lichtenrade,Tempelhof-Schöneberg,52.3833,13.4
12347,Britz,Neukölln,52.4167,13.4167
12349,Buckow,Neukölln,52.4167,13.4333
12351,Britz,Neukölln,52.4167,13.4167
12353,Gropiusstadt,Neukölln,52.4,13.4333
12355,Rudow,Neukölln,52.4,13.4667
12357,Gropiusstadt,Neukölln,52.4,13.4333
12359,Britz,Neukölln,52.4167,13.4167
12435,Plänterwald,Treptow-Köpenick,52.4833,13.4833
12437,Niederschöneweide,Treptow-Köpenick,52.4333,13.5
12439,Niederschöneweide,Treptow-Köpenick,52.4333,13.5
12459,Oberschöneweide,Treptow-Köpenick,52.45,13.5167
12487,Johannisthal,Treptow-Köpenick,52.4333,13.5333
12489,Johannisthal,Treptow-Köpenick,52.4333,13.5333
12524,Altglienicke,Treptow-Köpenick,52.3833,13.5333
12526,Bohnsdorf,Treptow-Köpenick,52.3833,13.5667
12527,Schmöckwitz,Treptow-Köpenick,52.3667,13.65
12555,Friedrichshagen,Treptow-Köpenick,52.4333,13.6167
12557,Köpenick,Treptow-Köpenick,52.4333,13.5667
12559,Köpenick,Treptow-Köpenick,52.4333,13.5667
12587,Friedrichshagen,Treptow-Köpenick,52.4333,13.6167
12589,Rahnsdorf,Treptow-Köpenick,52.4167,13.6833
12619,Hellersdorf,Marzahn-Hellersdorf,52.5167,13.5833
12621,Kaulsdorf,Marzahn-Hellersdorf,52.5167,13.5833
12623,Mahlsdorf,Marzahn-Hellersdorf,52.5,13.6167
12627,Hellersdorf,Marzahn-Hellersdorf,52.5167,13.5833
12629,Hellersdorf,Marzahn-Hellersdorf,52.5167,13.5833
12679,Marzahn,Marzahn-Hellersdorf,52.5333,13.55
12681,Marzahn,Marzahn-Hellersdorf,52.5333,13.55
12683,Biesdorf,Marzahn-Hellersdorf,52.5,13.55
12685,Marzahn,Marzahn-Hellersdorf,52.5333,13.55
12687,Marzahn,Marzahn-Hellersdorf,52.5333,13.55
12689,Marzahn,Marzahn-Hellersdorf,52.5333,13.55
13051,Malchow,Lichtenberg,52.5733,13.4667
13053,Neu-Hohenschönhausen,Lichtenberg,52.55,13.5
13055,Alt-Hohenschönhausen,Lichtenberg,52.55,13.5
13057,Falkenberg,Lichtenberg,52.5833,13.5333
13059,Wartenberg,Lichtenberg,52.5667,13.5167
13086,Weissensee,Pankow,,
13088,Heinersdorf,Pankow,52.5755,13.4456
13089,Pankow,Pankow,52.5692,13.4018
13125,Französisch Buchholz,Pankow,52.614,13.42
13127,Französisch Buchholz,Pankow,52.614,13.42
13129,Blankenburg,Pankow,52.5964,13.4564
13156,Niederschönhausen,Pankow,52.5756,13.4
13158,Wilhelmsruh,Pankow,52.5897,13.4186
13159,Blankenfelde,Pankow,52.6033,13.3889
13187,Niederschönhausen,Pankow,52.5756,13.4
13189,Pankow,Pankow,52.5692,13.4018
13347,Gesundbrunnen,Mitte,52.5511,13.3885
13349,Wedding,Mitte,52.55,13.365
13351,Wedding,Mitte,52.55,13.365
13353,Moabit,Mitte,52.528,13.343
13355,Gesundbrunnen,Mitte,52.5511,13.3885
13357,Gesundbrunnen,Mitte,52.5511,13.3885
13359,Gesundbrunnen,Mitte,52.5511,13.3885
13403,Wittenau,Reinickendorf,52.5833,13.3333
13405,Tegel,Reinickendorf,52.5833,13.2833
13407,Reinickendorf,Reinickendorf,52.5833,13.3333
13409,Reinickendorf,Reinickendorf,52.5833,13.3333
13435,Märkisches Viertel,Reinickendorf,52.6,13.3833
13437,Wittenau,Reinickendorf,52.5833,13.3333
13439,Märkisches Viertel,Reinickendorf,52.6,13.3833
13465,Frohnau,Reinickendorf,52.6333,13.3
13467,Hermsdorf,Reinickendorf,52.6167,13.3167
13469,Lübars,Reinickendorf,52.6167,13.3667
13503,Tegel,Reinickendorf,52.5833,13.2833
13505,Tegel,Reinickendorf,52.5833,13.2833
13507,Tegel,Reinickendorf,52.5833,13.2833
13509,Wittenau,Reinickendorf,52.5833,13.3333
